ID,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Expected Price ($1k),amount_selling_cars_2017,amount_selling_cars_2018,amount_selling_cars_2019,amount_selling_cars_2020,amount_selling_cars_2021,accumulative_selling_cars,Expense
EV42638,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,3112,4936,4583,1516,1617,15764,12.004000000000001
EV78648,WA,2018.0,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,16.999,2021,2496,2536,1017,2907,10977,1.9989999999999988
EV57751,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,4392,4283,3700,4932,3710,21017,13.0
EV39938,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,4938,1926,1558,1208,4480,14110,10.004000000000001
EV29163,WA,2015.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,25.0,4275,4074,1422,3089,2229,15089,14.0
EV59198,WA,2018.0,BMW,530E XDRIVE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,42.9,2354,2227,3806,3968,2455,14810,23.9
EV61,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,3225,4159,2720,2216,2343,14663,51.0
EV389,WA,2019.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,38.0,4986,3350,3539,2827,3808,18510,33.0
EV42824,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,1314,1947,4029,1954,3026,12270,17.004
EV87501,WA,2020.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,31.5,2194,3729,2040,2933,3421,14317,26.5
EV50074,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,50.0,4996,2133,1145,3216,1464,12954,33.0
EV53047,WA,2016.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,38.0,4813,4827,3557,1588,1835,16620,26.0
EV7958,WA,2019.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,41.78,3784,4669,1741,3947,2776,16917,28.78
EV12965,WA,2014.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,17.0,4592,3445,1712,4398,3691,17838,13.0
EV51016,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,3507,3838,1138,3899,4260,16642,56.0
EV41355,WA,2016.0,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,20.0,3661,2759,3922,2466,3475,16283,12.0
EV50338,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,1787,4161,2158,4468,1278,13852,69.0
EV43027,WA,2018.0,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,30.0,2944,4669,3675,1838,2340,15466,20.0
EV85476,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,1600,1234,3571,3685,4879,14969,27.9
EV80356,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4076,1285,4965,4802,3705,18833,48.0
EV89713,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,50.0,2219,4525,3397,3667,4988,18796,47.0
EV61293,WA,2014.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,16.0,3217,1028,3876,3430,4305,15856,1.0
EV46210,WA,2016.0,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,18.86,3657,1194,1324,4873,3670,14718,14.86
EV50433,WA,2016.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,27.0,2400,1650,1073,3751,3479,12353,20.0
EV5174,WA,2016.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,70.0,1520,3251,3471,3919,4290,16451,65.0
EV72824,WA,2017.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,60.0,4619,1661,2773,4583,3167,16803,53.0
EV45526,WA,2016.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,27.0,3462,1078,2256,1384,3004,11184,16.0
EV62403,WA,2014.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,30.0,1770,4143,1067,4990,1620,13590,15.0
EV67392,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4186,3249,4351,4910,1363,18059,46.0
EV45048,WA,2018.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,69.0,2526,1592,3544,3897,4319,15878,51.0
EV84887,WA,2015.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,17.0,2507,4798,2365,2537,2948,15155,14.0
EV1849,WA,2016.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,70.0,2082,2589,3951,4946,4584,18152,67.0
EV64888,WA,2022.0,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,37.3,4850,3288,1331,3376,1409,14254,23.299999999999997
EV63022,WA,2015.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,18.5,3989,2950,4391,3457,3437,18224,1.5
EV88757,WA,2014.0,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,16.5,4061,2272,3558,1099,1717,12707,2.5
EV28834,WA,2011.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,15.0,2262,1294,3179,3233,2583,12551,4.0
EV86410,WA,2018.0,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,30.0,1782,4790,4277,3871,1984,16704,16.0
EV49739,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,2375,3398,2010,3804,2104,13691,6.004000000000001
EV44763,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,1663,3875,1763,4983,4430,16714,3.0040000000000013
EV70748,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4924,1392,3783,4615,1093,15807,52.0
EV34630,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,50.0,1775,2312,4581,3774,1095,13537,42.0
EV36628,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,3052,1906,1424,1756,1428,9566,61.0
EV69563,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4803,4781,2252,1717,3020,16573,57.0
EV37996,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4891,1974,1490,3984,1209,13548,54.0
EV38438,WA,2016.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,27.0,1897,3972,3421,2150,4711,16151,15.0
EV39275,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2736,3807,4339,3133,4194,18209,66.0
EV19407,WA,2015.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,25.0,1247,1574,1278,2930,3741,10770,16.0
EV65356,WA,2019.0,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,34.5,1132,1361,2270,1416,3806,9985,16.5
EV20871,WA,2020.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,105.0,3692,2082,4348,2820,4737,17679,86.0
EV8638,WA,2013.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,18.0,1006,4459,4227,3105,1426,14223,2.0
EV20839,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,1477,1300,1947,3721,4851,13296,3.0
EV55466,WA,2011.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,15.0,4088,3009,4263,1086,2429,14875,7.0
EV54472,WA,2020.0,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,26.0,4503,4919,1518,2199,1611,14750,17.0
EV55905,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2952,1283,3547,1360,1067,10209,57.0
EV67117,WA,2013.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,33.89,2254,2712,1042,2163,3230,11401,23.89
EV21626,WA,2017.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,21.0,2777,4555,3475,4171,2011,16989,7.0
EV68543,WA,2011.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,15.0,1030,3727,2640,3863,3003,14263,9.0
EV19857,WA,2020.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,40.0,3463,2300,3623,2737,4359,16482,21.0
EV6571,WA,2019.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,38.0,2182,4183,3068,2634,4206,16273,28.0
EV31603,WA,2017.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,60.0,3728,2931,4835,4816,4152,20462,50.0
EV59790,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4423,4231,2191,2354,4960,18159,38.0
EV86588,WA,2019.0,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,22.0,4582,1682,1657,1459,2698,12078,10.0
EV12243,WA,2014.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,16.0,1009,3948,2392,4235,3891,15475,4.0
EV83436,WA,2014.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,16.0,1669,4532,2806,1148,2248,12403,0.0
EV58051,WA,2013.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,20.0,2935,2664,2163,2481,1463,11706,9.0
EV46383,WA,2015.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,17.0,4426,2135,2268,1158,1672,11659,1.0
EV86870,WA,2015.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,18.5,2501,3804,1057,2223,2569,12154,8.5
EV47599,WA,2019.0,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,59.979,4265,2878,4746,1230,3642,16761,47.979
EV14416,WA,2021.0,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,43.0,3289,4868,4570,3372,3568,19667,30.0
EV41096,WA,2018.0,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,24.283,1666,4404,3917,4786,3929,18702,20.283
EV77056,WA,2014.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,16.0,4893,1532,2653,3188,2165,14431,4.0
EV78725,WA,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,54.0,4044,1563,4953,4343,4316,19219,49.0
EV29797,WA,2015.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,25.0,4122,2647,4629,4616,3583,19597,8.0
EV36213,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,2664,3292,3826,3711,3498,16991,29.9
EV72720,WA,2022.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,38.0,2766,3715,4865,3389,3831,18566,22.0
EV61863,WA,2015.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,18.5,1126,3346,2034,2034,4289,12829,6.5
EV88095,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,3283,3840,2709,1695,4888,16415,42.0
EV43783,WA,2018.0,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,24.283,4805,4372,3099,4017,4105,20398,6.283000000000001
EV41727,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,1615,4009,3349,1155,3470,13598,51.0
EV21046,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,2572,2497,3306,3133,4938,16446,10.0
EV79664,WA,2018.0,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,25.0,4934,4627,2133,3063,1708,16465,17.0
EV47467,WA,2020.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,37.413,4018,3169,2023,4205,3584,16999,30.412999999999997
EV4922,WA,2017.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,65.0,2263,4685,3693,4785,3113,18539,46.0
EV90036,WA,2014.0,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,8.9,2400,4413,3635,2488,4815,17751,4.0
EV87658,WA,2017.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,36.98,4398,2722,4454,4774,1406,17754,21.979999999999997
EV47569,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,1341,4559,4628,4492,3918,18938,65.0
EV5876,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,4764,4490,1684,3858,4058,18854,9.0
EV78908,WA,2020.0,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,27.0,1087,4904,2820,4945,4180,17936,24.0
EV72605,WA,2015.0,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,43.0,2684,3868,3601,1942,4558,16653,35.0
EV48781,WA,2014.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,16.0,3063,3873,2884,3274,2065,15159,2.0
EV10814,WA,2017.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,19.0,1049,1805,3547,2962,4439,13802,12.0
EV13423,WA,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,54.0,4994,1722,2381,4511,3462,17070,46.0
EV2996,WA,2011.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,15.0,4653,3779,1497,1075,1418,12422,6.0
EV68672,WA,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,54.0,3712,4444,3039,3130,1217,15542,51.0
EV34331,WA,2014.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,16.0,3181,4614,4115,2763,1790,16463,10.0
EV5858,WA,2013.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,18.0,4557,3520,2908,4914,1753,17652,11.0
EV29190,WA,2018.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,90.0,2727,2139,2790,3070,2695,13421,84.0
EV21874,WA,2013.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,33.89,1662,3896,1017,3380,2685,12640,28.89
EV83794,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,50.0,3932,4677,3326,3074,2003,17012,32.0
EV41980,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,3487,4147,1213,3365,4114,16326,2.0
EV23990,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2735,4033,2495,1877,4990,16130,64.0
EV33721,WA,2019.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,82.5,2942,3496,3896,2114,3033,15481,78.5
EV39961,WA,2018.0,BMW,530E XDRIVE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,42.9,3555,1186,1237,3975,4019,13972,25.9
EV34054,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,4186,1693,1818,3584,2286,13567,4.004000000000001
EV20922,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2201,1407,2899,1342,3121,10970,59.0
EV24713,WA,2019.0,KIA,NIRO ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,22.3,1607,3826,3688,2702,4938,16761,8.3
EV70890,WA,2014.0,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,5.499,4197,2835,1522,1095,4248,13897,1.4989999999999997
EV19547,WA,2016.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,65.0,3014,4845,4904,2657,4014,19434,59.0
EV63830,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,50.0,3152,3998,3898,1255,4030,16333,45.0
EV58512,WA,2013.0,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,7.0,4060,2949,4500,3230,3939,18678,4.0
EV45866,WA,2021.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,70.0,4417,3089,3078,4192,1596,16372,52.0
EV47848,WA,2017.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,65.0,2004,2964,4362,3318,1298,13946,49.0
EV4515,WA,2018.0,BMW,530E XDRIVE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,42.9,4695,2497,3821,3178,2518,16709,24.9
EV41521,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,2502,2981,1834,4197,3520,15034,27.9
EV64039,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,1398,4574,2667,2048,3061,13748,14.0
EV91111,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,1409,2670,3607,1271,4661,13618,58.0
EV1380,WA,2012.0,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,18.0,2805,4531,1390,4266,4746,17738,2.0
EV87609,WA,2017.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,27.0,2919,4670,2341,4708,4134,18772,11.0
EV20981,WA,2015.0,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,16.557,2370,2898,4607,3490,3186,16551,2.5569999999999986
EV21271,WA,2021.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,36.6,2095,3474,2044,3537,3908,15058,28.6
EV78734,WA,2019.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,82.5,2781,4641,4645,4504,4609,21180,65.5
EV90076,WA,2012.0,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,18.0,2209,2372,4229,1416,2491,12717,5.0
EV45209,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,2084,2318,3864,4857,3800,16923,59.0
EV16610,WA,2012.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,16.0,3898,3349,4749,4815,3406,20217,4.0
EV12855,WA,2018.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,90.0,2717,3154,2109,4049,2335,14364,82.0
EV3440,WA,2020.0,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,119.8,4735,3555,3405,4551,1264,17510,111.8
EV86177,WA,2016.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,27.0,2494,4679,2222,4131,1848,15374,10.0
EV65350,WA,2021.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,70.0,2796,4557,1262,1514,4334,14463,55.0
EV28189,WA,2018.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,30.0,2797,4023,2598,4695,4452,18565,26.0
EV62126,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,3564,2295,2621,1824,1649,11953,24.9
EV23145,WA,2019.0,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,22.0,4360,4631,2107,4929,2571,18598,7.0
EV91163,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,2864,4301,4822,2452,4040,18479,12.004000000000001
EV80136,WA,2019.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,21.258,1890,4098,4089,1563,2702,14342,7.257999999999999
EV66423,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,1324,4685,4298,2018,1086,13411,55.0
EV47108,WA,2022.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,63.4,2247,3995,4256,1694,2878,15070,49.4
EV9288,WA,2015.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,62.0,3994,2905,4878,3102,2212,17091,57.0
EV64083,WA,2018.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,90.0,4394,3691,4040,3589,3542,19256,78.0
EV65020,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,3991,4843,3438,3880,1377,17529,61.0
EV55642,WA,2019.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,35.0,2944,2945,4640,1656,1764,13949,29.0
EV20609,WA,2017.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,65.0,3033,4751,2679,3055,1261,14779,55.0
EV31102,WA,2015.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,25.0,2658,2466,3127,3996,4058,16305,18.0
EV219,WA,2019.0,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,25.0,1409,2851,1815,4043,2836,12954,7.0
EV30087,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,1489,3184,1934,4456,3128,14191,57.0
EV19832,WA,2016.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),,210,65.0,1374,3273,1180,3544,1899,11270,60.0
EV48077,WA,2017.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,65.0,3858,1263,4943,1598,2022,13684,50.0
EV53099,WA,2018.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,90.0,4186,2614,3990,1601,3023,15414,77.0
EV48686,WA,2018.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,69.0,2942,1874,1314,4474,4528,15132,52.0
EV27896,WA,2017.0,FORD,C-MAX,,Not eligible due to low battery range,20,21.0,1551,1243,2875,1125,2635,9429,11.0
EV61868,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,1334,4310,1713,3467,4832,15656,16.0
EV76816,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,4868,4016,2019,4175,1658,16736,8.0
